"WEAPON","","INFO","","","","PREFERENCE","","","PERKS","","","ROLE / NOTES","ANALYSIS","","SOURCE",""
"","BxR-55 Battler","Pulse Rifle","Energy","Solar","Legacy PR-55","Arrowhead
Hammer-forged
Full Bore","Ricochet Rounds
Accurized Rounds","Range
Stability","Perpetual Motion
Heating Up
Killing Wind","Kill Clip
Blunt Execution
Incandescent","Hot Swap","""There'll be another time...""
Special Hipfire/Lightweight frame.
Does NOT provide lightweight frame bonuses. Provides MASSIVE hipfire accuracy, aim assist & stability buffs.","","S","Dares of Eternity / Xur's Treasure Hoard","Yes"
"","Chattering Bone (Last Wish Variant)","Pulse Rifle","Kinetic","Kinetic","Lightweight","Arrowhead
Extended
Chambered
Hammer-forged
Smallbore","Accurized Rounds","Range
Stability","Kill Clip","Rampage
Headseeker","Explosive Pact","Lightweight/Movement
Only remaining easy 2 burst Lightweight Frame.
Kill Clip + Rampage for 0.53 TtK","","S","Last Wish Raid","Yes"
"","Darkest Before","Pulse Rifle","Energy","Solar","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Keep Away
Elemental Capacitor
Heal Clip","Elemental Honing
Headseeker
Kill Clip","Crossing Over","EH 1 stack shifts ttk 0.8 --> 0.73
3stack --> 0.67","","S","Prophecy Dungeon","No"
"","Elsie's Rifle","Pulse Rifle","Energy","Void","High-Impact","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Zen Moment
Keep Away","Headseeker
Desperado
Desperate Measures","Indomitability","Neutral 2 burst for 0.67 TtK.
Very high stat package.
Very strong perk selection.","","S","Onslaught","No"
"","Hailing Confusion","Pulse Rifle","Kinetic","Stasis","Adaptive","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Zen Moment
Headstone
Rapid Hit","Kill Clip
Headseeker
Desperado
Meganeura","Winterized Gear","145 weapons paired w/ FROST-EE5 2 burst from neutral.
145 Weapons + Frostees/Stasis Surge x1 enables a neutral TTK shift.
TTK Shift via Frenzy, Focused Fury, or 145 Weapons + Stasis Surge x1: 1.00 -> 0.59
145 Weapons + Frostees/Stasis Surge x1 + Desperado: => 0.45
Headstone res block.","","S","Europa Destination","No"
"","High Tyrant","Pulse Rifle","Energy","Void","Balanced (540RPM)","Arrowhead
Smallbore
Hammer-forged","Overclocked
Projection Fuse","Range
Stability","Delicate Tuning
Rapid Hit
Destabilizing Rounds","Master of Arms
Headseeker
Withering Gaze","Imperial Allegiance","Naturally faster TtK due to being a heat weapon
Base TtK of 0.73 (instead of the usual 0.80s)
2 BURST w/ 195 weapons, Overclocked, and x2 MoA.
Withering Gaze.","","S","Equilibrium Dungeon","No"
"","Horror's Least","Pulse Rifle","Energy","Arc","Rapid-Fire","Hammer-forged
Smallbore
Full Bore","Accurized Rounds","Range
Stability","Zen Moment
Transcendant Moment","Kill Clip
Rampage","Accelerated Assault
Vanguard Determination","Decent, competitive option for rapid fire pulses. Outclassed in the energy slot by High Tyrant.","","A","Tenet of Bravery / Vanguard Ops / Zavala Vendor","No"
"","Joxer's Longsword","Pulse Rifle","Energy","Void","Heavy Burst","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Lone Wolf
Zen Moment","Withering Gaze
Desperado","Accelerated Assault
Nadir Focus
Roar of Battle","Long Range 2 burst pulse.
TTK shift via Desperado: 0.83 -> 0.54
Kill Clip or Adrenaline Junkie x2: => 0.74","","A","Crucible / Shaxx Vendor","No"
"","Last Thursday","Pulse Rifle","Kinetic","Strand","Adaptive","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Moving Target
Rapid Hit","Elemental Honing
Headseeker
Slice","Exhaustive Research","Can achieve neutral 2-burst via 186 weapons + Ele Honing x1.
186 Weapons + Ele Hone x1, Ele Honing x3. Binary Orbit, or Frenzy = 0.59 TtK
Origin is lackluster/borderline useless.","","S","Kepler Destination","No"
"","Nightshade","Pulse Rifle","Kinetic","Strand","Lightweight","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Slice
Keep Away
Moving Target","Headseeker
Kill Clip
Moving Target","Accelerated Assault
Nadir Focus","x2 Moving Target for VERY FAST ADS strafe.
Slice.","","A","Vanguard Ops / Zavala Vendor","No"
"","Nullify","Pulse Rifle","Energy","Solar","Heavy Burst","Arrowhead
Smallbore
Hammer-Forged","Accurized Rounds","Range
Stability","Under-Over
Rapid Hit
Firefly
Heal Clip","Vorpal Weapon
Sword Logic
Chaos Reshaped
Meganeura","Collective Purpose","Long Range 2 burst pulse.
TTK shift via Multikill Clip x3 or Chaos Reshaped x2: 0.83 -> 0.44
Multikill Clip x1, Sword Logic x2 or Chaos Reshaped x1: => 0.74
Vorpal Weapon & Under-Over for Anti-Super.
Firefly + Meganeura can punish teams laning together.","","B","Salvation's Edge Raid","Yes"
"","Redrix's Estoc","Pulse Rifle","Kinetic","Stasis","Legacy PR-55","Hammer-Forged
Smallbore
Full Bore","Accurized Rounds","Range
Stability","Zen Moment
Lone Wolf
Off Hand Strike","Elemental Honing
Headseeker
Kill Clip","None (Has access to Stocks instead)","Special Hipfire/Lightweight frame.
Does NOT provide lightweight frame bonuses. Provides MASSIVE hipfire accuracy, aim assist & stability buffs.
No origin trait. Instead has Stocks for higher possible stat package.
Cool Ranch BXR","","S","Comp / Shaxx Vendor","No"
"","Sacred Provenance","Pulse Rifle","Kinetic","Kinetic","Aggressive Burst","Arrowhead
Smallbore
Hammer-Forged","Ricochet Rounds","Range
Stability","Keep Away
Lone Wolf
Stopping Power","Desperado
Headseeker
Kinetic Tremors","Photoinhibition","Very strong Aggressive Burst option.
Insane stat package & perk options in both columns. Good origin trait.
TTK shift via Desperado: 0.73 -> 0.58
Kill Clip, All-Star, DM x1, or Frenzy: => 0.67
One For All or DM x3: => 0.60
Anti-Overshield & Woven Mail via Origin.","","S","Garden of Salvation Raid","Yes"
"","Smite of Merain","Pulse Rifle","Kinetic","Kinetic","Adaptive","Arrowhead
Smallbore
Hammer-Forged","Accurized Rounds","Range
Stability","Moving Target
Focused Fury
Well-Rounded","Vorpal Weapon
All-Star
Swashbuckler
Adhesive Ordnance","Runneth Over","Vorpal Weapon.
Strange combo of double damage perks via Focused Fury in Column 1.
Can easily achieve TTK shift via Focused Fury, Adhesive Ordnance, or All-Star: 1.00 -> 0.59","","B","King's Fall Raid","Yes"
"","Stars in Shadow","Pulse Rifle","Energy","Solar","High-Impact","Arrowhead
Smallbore
Hammer-Forged","Accurized Rounds
Steady Rounds","Range
Stability","Zen Moment
Keep Away
Lone Wolf","Desperado
Kill Clip
Headseeker","Wild Card
Roar of Battle","Wild Card prevents rez for brief time / deals splash dam.","","A","Tenet of Bravery","No"
"","Stay Frosty","Pulse Rifle","Kinetic","Stasis","Lightweight","Arrowhead
Hammer-Forged
Smallbore","Accurized Rounds","Range
Stability","Lone Wolf
Moving Target
Killing Wind","Headseeker
Desperado
Headstone","Omolon Fluid
Dawning Surprise","Lightweight/Movement.
Kill Chain. Res block via headstone.","","A","Tenet of Bravery","No"
"","Syncopation-53","Pulse Rifle","Kinetic","Stasis","Adaptive","Arrowhead
Hammer-Forged
Smallbore","Ricochet Rounds","Range
Stability","Moving Target
Zen Moment","Headseeker
Vorpal Weapon
Frenzy
Headstone","Suros Synergy","Modern Vorpal Weapon.
145 Weapons + Frostees/Stasis Surge x1 enables a neutral TTK shift.
TTK Shift via Frenzy, Focused Fury, or 145 Weapons + Stasis Surge x1: 1.00 -> 0.59
Headstone res block.","","S","Throne World Destination","Yes"
"","The Martlet","Pulse Rifle","Energy","Void","Lightweight","Hammer-forged
Smallbore
Corkscrew","Accurized Rounds","Range
Stability","Headseeker
Keep Away
Repulsor Brace","Desperado
Kill Clip
Withering Gaze","Fleet Footed
Roar of Battle","Lightweight/Movement.
Kill Chaining.
Withering Gaze.","","S","Trials of Osiris / Saint-14 Vendor","No"
"","The Messenger","Pulse Rifle","Kinetic","Kinetic","High-Impact","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Moving Target
Rangefinder
Stopping Power","Headseeker
Desperado
Lone Wolf","Wild Card
Fleet Footed
Roar of Battle","Wild Card prevents rez for brief time / deals splash dam.","","A","Trials of Osiris / Saint-14 Vendor","No"
"","The Time-Worn Spire","Pulse Rifle","Kinetic","Stasis","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Zen Moment
Lone Wolf
Moving Target
Firefly","Elemental Honing
Headseeker
Kill Clip
Rampage","Skulking Wolf","EH 1 stack shifts ttk 0.8 --> 0.73
3stack --> 0.67
Firefly allows x2 EH without any investment.","","S","Iron Banner / Saladin Vendor","No"
"","Ogma PR6","Pulse Rifle","Energy","Solar","Lightweight","Arrowhead
Smallbore
Hammer-forged","Accurized
Steady","Range
Stability","Perpetual Motion
Heating Up
Demolitionist","Disruption Break
Dragonfly
Adrenaline Junkie","Omolon Fluid Dynamics","Lightweight/movement.
Primarily PvE focused perks.
Disruption Break for team shot gameplay.
TTK shift via Adrenaline Junkie x2: 0.87 -> 0.80
Adrenaline Junkie x5 or One For All: => 0.53","","D","Gunsmith Vendor","No"
"","Cold Denial","Pulse Rifle","Kinetic","Kinetic","High-Impact","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Tunnel Vision","Desperado
Multikill Clip
Headseeker
Eye of the Storm","Paracausal Fluid","Unique 14 Zoom. Same as most Hand Cannons.
Lower zoom makes this more friendly to use at shorter ranges compared to other pulses.
Origin provides +50 Mobility & +?(large) Handling buff upon dealing damage, giving this a lightweight-type effect.
Very devestating in good hands.","","S","Xur","No"
"","Veles-X (Monument of Triumph Variant)","Pulse Rifle","Energy","Void","Aggressive Burst","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Lone Wolf
Rapid Hit
Repulsor Brace","Desperado
Golden Tricorn
Withering Gaze","Vanguard Determination
Hakke Breach Armaments","4-Round burst pulse.
Withering Gaze can punish overextending players due to Weaken's 20% slow.
TTK shift via Desperado: 0.73 -> 0.58
Kill Clip or Golden Tricorn x1: => 0.67
Golden Tricorn x2: => 0.60","","A","Vanguard Solo Ops / Zavala Vendor","No"
"","Veles-X (Original Variant)","Pulse Rifle","Energy","Void","Aggressive  Burst","Chambered","Flared Magwell","Handling","Tunnel Vision
Repulsor Brace","Golden Tricorn
Kill Clip","One Quiet Moment
Vanguard's Vindication
Gun and Run
Hakke Breach Armaments","Curated roll. 4-Round burst pulse.
Non-tiered, non-enhanceable.
4 Origin options for different uses.
Golden Tricorn x1 or Kill Clip ttk shift: 0.73 -> 0.67
Golden Tricorn x2 => 0.60","","C","Monument of Lost Lights","No"
"","Bygones (Monument of Triumph Variant)","Pulse Rifle","Kinetic","Kinetic","Adaptive","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Stopping Power
Zen Moment
Keep Away
Lone Wolf
Moving Target","Headseeker
Sword Logic
Desperado","Gun and Run","186(?) Weapons makes for easy 2 bursts.
TTK Shift via Stopping Power + 186 Weapons or Sword Logic: 1.00 -> 0.59
Desperado: => 0.70, Desperado + 186 weapons => 0.63","","S","Gambit / Drifter Vendor","No"
"","Bygones (Episode: Revenant Variant)","Pulse Rifle","Kinetic","Kinetic","Adaptive","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Keep Away
Lone Wolf","Kill Clip
Desperado
Vorpal Weapon","Gun and Run","Cannot 2 burst without Damage Perks/Buff active due to lack of Stopping Power.
TTK Shift via Kill Clip: 1.00 -> 0.59
Desperado: => 0.70, Desperado + 186 weapons => 0.63","","C","Unobtainable (Previously Gambit)","No"
"","Battle Scar","Pulse Rifle","Kinetic","Kinetic","Lightweight","Arrowhead
Smallbore
Hammer-forged","Accurized
Steady","Range
Stability","Keep Away
Perpetual Motion","Headseeker
Adhesive Ordnance
All-Star","Field-Tested
Veteran's Wisdom","Lightweight/movement.
TTK shift via All-Star or High Ground x2: 0.87 -> 0.80
One For All or Adhesive Ordnance: => 0.53
Veteran's Wisdom can exhaust enemies near killed targets.","","B","EDZ Destination","No"
"","Gridskipper (Monument of Triumph Variant)","Pulse Rifle","Energy","Void","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Lone Wolf
Repulsor Brace","Headseeker
Multikill Clip
Desperate Measures","Splicer Surge","Decent rapid-fire that is powercrept by other options.
TTK shift via Multikill Clip x1, DM x2, or Frenzy: 0.80 -> 0.67
Multikill Clip x3: => 0.47
Origin provides escalating Reload & Handling when dealing damage.","","B","World Drop / Hawthorne Engram / Gunsmith Vendor","No"
"","Gridskipper (Episode: Revenant Variant)","Pulse Rifle","Energy","Void","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Lone Wolf
Repulsor Brace","Headseeker
Multikill Clip
Desperate Measures","Splicer Surge","Decent rapid-fire that is powercrept by newer options.
TTK shift via Multikill Clip x1, DM x2, or Frenzy: 0.80 -> 0.67
Multikill Clip x3: => 0.47
Origin provides escalating Reload & Handling when dealing damage
Non-tiered, but enhanceable.","","B","Kell's Fall Legacy Loot
Modifier Classic Collector: ON","No"
"","New Purpose","Pulse Rifle","Kinetic","Stasis","High-Impact","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Headstone
Rapid Hit","Desperado
Headseeker
Meganeura","Bitterspite","VERY effective 340 RPM pulse.
Strong perks in both columns.
TTK shift via Desperado: 0.67 -> 0.48
Swashbuckler x3: => 0.60
Headstone res block.
Double AoE perks can punish teams laning together.
Origin provides massive reload speed buffs based on damage taken.","","S","Duality Dungeon","No"
"","Premonition","Pulse Rifle","Energy","Void","High-Impact","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Firefly
Rapid Hit
Repulsor Brace","Headseeker
Desperado
Kill Clip
Withering Gaze
Meganeura","Loss","VERY effective 340 RPM pulse.
Strong perks in both columns.
TTK shift via Desperado: 0.67 -> 0.48
Kill Clip or Master of Arms x2: => 0.60
Withering Gaze can punish players who overextend due to Weaken's 20% slow.
Withering + Repulsor for easy overshields.
Double AoE perks can punish teams laning together.
INSANE Origin trait that provides AA, Stability and Handling passively.","","S","Moon Destination","No"
"","Relentless (Rite of the Nine Variant)","Pulse Rifle","Kinetic","Strand","High-Impact","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Slice
Lone Wolf
Firefly","Elemental Honing
Headseeker
Desperado
Paracausal Affinity","Crossing Over
Gravity Well","VERY effective 340 RPM pulse.
Has access to alternate Origin trait Gravity Well.
Grav Well picks up all ammo bricks on ground within 15yds on reload. Can activate ""On ammo pickup"" perks such as Twofold Crown 2pc, or Adhesive Ordnance.
Can self proc Ele Hone x2 via Firefly + Weapon damage, allowing an easy to reach x3 paired w/ abilities.
TTK Shift via Elemental Honing x3 or Para Aff: 0.67 -> 0.60
Desperado: => 0.48
Slice can provide dueling ""protection"" to make room for more mistakes.
Origin (non-enhanced) provides Range & Handling above 50% mag, and +1.5-3% damage under 50%.
Non-tiered, but enhanceable.","","S","Unobtainable (Previously Rite of the Nine Event)","No"
"","Relentless (Monument of Triumph Variant)","Pulse Rifle","Kinetic","Strand","High-Impact","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Slice
Firefly","Elemental Honing
Headseeker
Desperado
Paracausal Affinity","Crossing Over","VERY effective 340 RPM pulse.
Slice can provide dueling ""protection"" to make room for more mistakes.
Can self proc Ele Hone x2 via Firefly + Weapon damage, allowing an easy to reach x3 paired w/ abilities.
TTK Shift via Elemental Honing x3, Adren Junkie x3, or Para Aff: 0.67 -> 0.60
Desperado: => 0.48
Origin provides Range & Handling above 50% mag, and +2-4% damage under 50%","","S","Prophecy Dungeon","No"
"","Relentless (Season of the Wish Variant)","Pulse Rifle","Kinetic","Strand","High-Impact","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Slice
Rapid Hit","Headseeker
Desperado
Zen Moment","Crossing Over","VERY effective 340 RPM pulse.
Slice can provide dueling ""protection"" to make room for more mistakes.
TTK Shift via Desperado: 0.67 -> 0.48
Origin (non-enhanced) provides Range & Handling above 50% mag, and +1.5-3% damage under 50%.
Non-tiered, but enhanceable.","","S","Unobtainable (Previously Prophecy Dungeon)","No"
"","Jorum's Claw","Pulse Rifle","Energy","Solar","Adaptive","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Moving Target
Iron Grip
Encore","Kill Clip
Headseeker
Golden Tricorn","Skulking Wolf
Suros Synergy","Strong Adaptive pulse option.
No neutral TTK shift perks.
TtK shift via Kill Clip OR Golden Tricorn + 145(?) Weapons: 1.00 -> 0.59","","C","Iron Banner / Valus Saladin Vendor","No"
"","Claws of the Wolf","Pulse Rifle","Energy","Void","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Headseeker
Elemental Capacitor
Repulsor Brace","Kill Clip
Disruption Break
Zen Moment","Skulking Wolf","Skulking Wolf Rapid-fire Pulse.
Disruption Break for Team Shot gameplay.
TTK shift via Kill Clip or Rampage x2: 0.80 -> 0.67
Rampage x1: => 0.73","","A","Iron Banner / Valus Saladin Vendor","No"
"","Yesteryear","Pulse Rifle","Energy","Void","Adaptive","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Slideways
Perpetual Motion
Well-Rounded","Desperado
Golden Tricorn
Multikill Clip","Suros Synergy
Gun and Run","Mid frame, lackluster column 1 perks, and no perks to neutral shift TtK.
TtK shift via Rampage x1, Golden Tricorn x1, Multikill Clip x1: 1.00 -> 0.92
Desperado: => 0.70
Desperado + 145 Weapons: = 0.63
Focused Fury OR Multikill Clip + 145 Weapons, Tricorn x1 + 145 Weapons: = 0.59","","C","Gambit / Drifter Vendor","No"
"","The Third Axiom","Pulse Rifle","Energy","Arc","Adaptive","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Moving Target
Rangefinder
Slideways","Headseeker
Disruption Break
Vorpal Weapon","Vanguard Determination","No neutral TTK shift perk.
Very stacked perk pool in both columns.
Disruption Break for team shot gameplay.
Modern Vorpal Weapon option.","","C","Vanguard / Zavala Vendor","No"
"","Cruel Mercy (Monument of Triumph Variant)","Pulse Rifle","Energy","Arc","Heavy Burst","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Lone Wolf
Keep Away
Dragonflyt","Desperado
Kill Clip
Headseeker","Omolon Fluid Dynamics
Vanguard Determination
Problem Solver","Long Range 2 burst pulse.
TTK shift via Desperado: 0.83 -> 0.54
Kill Clip, Frenzy or Adrenaline Junkie x2: => 0.74","","A","Vanguard / Zavala Vendor","No"
"","Vantage Point","Pulse Rifle","Energy","Arc","Adaptive","Arrowhead
Smallbore
Hammer-forged","Accurized
Steady","Range
Stability","Lone Wolf
Keep Away
To The Pain","Desperado
Headseeker
Focused Fury","Dark Ether Reaper","Bad frame, and no perks to neutral shift TtK.
TtK shift via Desperado: 1.00 -> 0.70
Desperado + 145 Weapons: => 0.63
Swashbuckler x1: => 0.92
Focused Fury, One For All, or Swashbuckler x3: => 0.59","","C","Kell's Fall Legacy Loot
Modifier Classic Collector: ON","No"
"","Scalar Potential","Pulse Rifle","Energy","Arc","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Accurized
Steady","Range
Stability","Keep Away
Loose Change","Headseeker
Golden Tricorn
High Ground","Dragon's Vengeance","Decent Rapid-fire pulse option.
Lacks exceptional Column 1 options.
TTK shift via Golden Tricorn x1, Focused Fury, or High Ground x3: 0.80 -> 0.67
High Ground x1: => 0.73
Low base stats, decent origin which provides Range & Handling passively & frequently.","","B","Starcrossed Legacy Loot
Modifier Classic Collector: ON","Yes"
"","Adhortative","Pulse Rifle","Energy","Solar","Adaptive","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Heal Clip
Loose Change","Headseeker
Disruption Break
Moving Target
Golden Tricorn","Nano-Munitions","Primarily PvE focused perk options.
Lacks neutral TTK shift perks necessary to make Adaptive pulses competitive.
Disruption Break can be useful for team shot scenarios.","","D","Starcrossed Legacy Loot
Modifier Classic Collector: ON","Yes"
"","Oversoul Edict","Pulse Rifle","Energy","Arc","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Eye of the Storm
Perpetual Motion","Gear Shift
Sword Logic
Headseeker","Cursed Thrall","Exceptional Rapid-Fire Pulse but low base range & awkward base recoil direction.
Gear Shift TTK Shift from neutral.
TTK shift via Gear Shift x1, Sword Logic x2, Swash/Adren x3, High Ground x3: 0.80 -> 0.67
Swash/Adren x1, High Ground x1: => 0.73
Gear Shift x5: => 0.47","","A","Crota's End Raid","Yes"
"","Different Times","Pulse Rifle","Kinetic","Strand","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Moving Target
Heating Up","Headseeker
Golden Tricorn
Multikill Clip","Unsated Hunger","Decent Rapid-fire pulse option.
Lacks exceptional Column 1 options.
Low base stats, origin only activates when ALL abilities are on cooldown.","","B","Xur","Yes"
"","Outlast","Pulse Rifle","Energy","Solar","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Rangefinder","Kill Clip
Dragonfly
Opening Shot","Disaster Plan","Decent rapid-fire that is powercrept by newer options.
TTK shift via Kill Clip: 0.80 -> 0.67
Origin providees +15 Range and +15% Flinch Resist for next shot/burst fired after picking up ammo.
Non-tiered, non-enhanceable.","","B","Xur","No"
"","Phyllotactic Spiral","Pulse Rifle","Energy","Arc","High-Impact","Arrowhead
Chambered
Smallbore","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Rapid Hit","Headseeker
Desperado
Kill Clip","Nanotech Tracer Missiles","VERY strong High-Impact pulse option.
Craftable for easy perfect roll. Origin can very often tip a fight in your favor.
Desperado works very well in conjunction with the Origin.
","","S","Neptune Activities","Yes"
"","Disparity","Pulse Rifle","Energy","Stasis","Aggressive Burst","Arrowhead
Chambered
Smallbore","Accurized
Steady","Range
Stability","Moving Target
Eye of the Storm
Rapid Hit","Headseeker
Desperado
Kill Clip
Headstone
Swashbuckler","Ambush
Hakke Breach Armaments","VERY strong aggressive burst pulse option.
Ambush Origin provides +20 range & handling on combat start.
Stasis synergy w/ Cadmus Ridge Lancecap & Frostees.
TtK shift via Desperado: 0.73->0.58
Kill Clip: => 0.67
Swashbuckler: => 0.60","","S","Operation: Seraph's Shield Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Forge's Pledge","Pulse Rifle","Energy","Solar","Adaptive","Arrowhead
Smallbore
Hammer-forged","Accurized
Steady","Range
Stability","Zen Moment
Tunnel Vision
Heating Up","Multikill Clip
Rampage","Skulking Wolf","Weak frame, mostly weak perk options.
Non-tiered, non-enhanceable.","","F","Iron Banner / Valus Saladin Vendor","No"
"","Insidious","Pulse Rifle","Energy","Arc","Aggressive Burst","Arrowhead
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Frenzy
Rapid Hit
Dragonfly","Chaos Reshaped
Rampage
Vorpal Weapon","Soul Drinker","Double damage perks via Frenzy in Column 1.
TtK shift via Frenzy + Chaos Reshaped x1: 0.73 -> 0.60
Frenzy + CR x2: => 0.53
Modern Vorpal Weapon option. Can easily 2 burst most supers.","","A","Vow of the Disciple Raid","Yes"
"","Infinite Paths 8","Pulse Rifle","Energy","Arc","Lightweight","Arrowhead
Smallbore
Hammer-forged","Accurized
Steady","Range
Stability","Moving Target
Dragonfly","Kill Clip
Zen Moment
Swashbuckler","Radiolaria Transposer","Lightweight/movement.
Origin provides occasional AoE/Area Denial via Vex Pool.
TTK shift via Kill Clip or Swashbuckler x2: 0.87->0.80
Swashbuckler x5: => 0.53","","C","World Drop / Hawthorne Engram / Gunsmith Vendor","No"
"","Jian 7 Rifle","Pulse Rifle","Energy","Arc","Adaptive","SLO-10 Post
SLO-21 Post
SLO-12 Post","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Disruption Break
Zen Moment","Swashbuckler
Rampage
Dragonfly","None","Bad frame, good perks.
Lacks neutral TTK shift perks necessary to make the frame exceptional.
Disruption Break for teamshot gameplay.
TTK shift via Swashbuckler x3 or Rampage x2: 1.00 -> 0.59
Swashbuckler x1 or Rampage x1: => 0.92","","C","Xur / Dares of Etenity Loot Pool","No"
"","Last Perdition","Pulse Rifle","Energy","Void","Adaptive","Arrowhead
Smallbore
Hammer-forged","Accurized
Steady","Range
Stability","Moving Target
Rangefinder","Headseeker
Kill Clip
Zen Moment","Roar of Battle","Bad frame, good perks.
Lacks neutral TTK shift perks necessary to make the frame exceptional.
TTK shift via Kill Clip or Rampage x2: 1.00 -> 0.59
Rampage x1: => 0.92","","C","Lord Shaxx Vendor Legacy Focusing","No"
"","Jurassic Green","Pulse Rifle","Energy","Solar","Rapid-Fire","Arrowhead
Smallbore
Hammer-forged","Accurized
Steady","Range
Stability","Lone Wolf
Keep Away
Rangefinder","Headseeker
Kill Clip
Desperate Measures","Search Party
Field-Tested","Decent Rapid-Fire pulse but powercrept by new options.
Low base stats, and lacks neutral TTK shift perk options.
Good origin traits can make up for low base stats.
TTK shift via Kill Clip, DM x2, Frenzy, or Adren Junkie x3: 0.80 -> 0.67
DM x1 or Adren Junkie x1: => 0.73
Non-tiered, but enhanceable.","","B","Unobtainable (Previously Festival of the Lost activities)","No"
"","Redrix's Broadsword","Pulse Rifle","Kinetic","Kinetic","High-Impact","Arrowhead
Smallbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Stability","Outlaw","Desperado","None","""Grown ass man casting spells. Pick up the...""
Randomized barrels & magazines. Masterwork is always stability.
Still deadly, but massively powercrept by new options.
Non-tiered, non-enhanceable.","","C","Monument of Lost Lights","No"
"","Blast Furnace (Into the Light Variant)","Pulse Rifle","Kinetic","Kinetic","Aggressive Burst","Smallbore
Polygonal
Corkscrew","Accurized
Steady","Stability
Range","Headseeker
Kinetic Tremors
Keep Away
Zen Moment","Desperado
Kill Clip
Frenzy
Rampage
Desperate Measures","Indomitable","Very strong Aggressive Burst option.
Insane stat package & perk options in both columns. Good Origin.
TTK shift via Desperado: 0.73 -> 0.58
Kill Clip, Rampage x1, DM x1, or Frenzy: => 0.67
One For All, Rampage x3, DM x3: => 0.60","","S","Unobtainable (Previously Onslaught)","No"
"","Inaugural Address","Pulse Rifle","Energy","Void","Adaptive","Chambered
Polygonal
Fluted","None","Range
Stability","Outlaw
Ambitious Assassin","Kill Clip","None","Curated roll.
Non-tiered, non-enhanceable.
No magazines or origin traits.","","D","Unobtainable (Previously Leviathan Raid)","No"
